request_count,endpoint_hits,global_traffic,hour,label
7,3,33,8,0
8,2,70,20,0
11,3,57,20,0
17,5,72,5,0
12,4,60,7,0
8,4,79,10,0
8,2,23,12,0
20,1,36,1,0
10,2,41,7,0
19,3,53,14,0
1,3,43,0,0
15,2,46,17,0
15,1,95,21,0
3,3,52,20,0
18,5,77,11,0
20,2,24,7,0
7,4,39,22,0
18,2,89,1,0
5,3,65,0,0
14,3,37,4,0
12,4,28,18,0
11,1,50,0,0
19,2,69,7,0
15,2,87,3,0
20,1,54,14,0
13,5,67,1,0
20,3,20,21,0
7,2,72,11,0
17,5,35,21,0
1,1,77,6,0
6,1,78,1,0
10,5,64,1,0
10,1,64,6,0
19,1,51,14,0
3,1,53,9,0
5,5,95,16,0
19,2,82,0,0
10,4,38,13,0
13,4,91,21,0
4,5,40,18,0
11,3,22,5,0
14,2,56,6,0
19,2,24,10,0
10,2,48,1,0
14,3,100,15,0
19,1,61,13,0
17,2,86,10,0
16,5,44,10,0
9,2,98,22,0
3,5,21,6,0
20,3,91,12,0
7,3,99,6,0
11,4,35,1,0
20,1,98,3,0
10,2,93,9,0
8,1,91,22,0
18,3,77,15,0
10,1,62,1,0
1,4,51,10,0
5,4,74,2,0
15,3,98,18,0
20,1,53,23,0
12,2,20,21,0
3,4,80,14,0
8,5,74,18,0
17,2,63,15,0
11,4,20,8,0
2,5,51,11,0
17,1,59,4,0
17,1,30,1,0
11,5,42,4,0
3,1,57,14,0
7,5,51,21,0
20,4,44,15,0
10,5,33,13,0
6,3,35,22,0
19,5,74,1,0
9,1,46,14,0
18,4,58,2,0
3,5,20,20,0
19,1,20,16,0
10,1,24,7,0
17,5,89,2,0
3,4,67,4,0
16,1,90,19,0
1,2,81,19,0
1,4,80,1,0
12,4,46,7,0
1,5,55,21,0
4,1,85,23,0
5,5,93,13,0
16,5,53,0,0
2,4,89,5,0
12,2,44,16,0
2,2,48,8,0
12,5,82,4,0
7,5,71,14,0
19,5,40,11,0
9,3,54,13,0
16,1,43,15,0
8,1,89,20,0
19,4,33,23,0
14,4,24,7,0
3,4,27,9,0
13,1,74,3,0
17,3,66,16,0
13,3,20,6,0
9,4,20,19,0
14,2,34,15,0
18,3,78,15,0
16,4,76,18,0
11,3,29,5,0
18,1,31,20,0
12,3,47,21,0
13,5,89,13,0
2,1,39,13,0
6,4,91,12,0
12,4,97,7,0
8,5,38,20,0
10,4,95,5,0
14,1,37,17,0
4,3,27,22,0
3,2,31,8,0
13,1,34,21,0
3,4,91,23,0
12,1,53,12,0
5,3,65,12,0
12,5,79,8,0
16,4,77,3,0
20,3,100,9,0
2,2,67,15,0
20,4,84,22,0
6,2,51,9,0
3,2,25,6,0
10,1,88,1,0
14,3,75,15,0
14,1,76,10,0
7,2,68,2,0
16,4,54,13,0
2,4,78,20,0
15,5,74,1,0
10,3,34,9,0
13,1,42,8,0
13,5,75,2,0
14,4,30,20,0
18,5,41,21,0
10,1,42,1,0
6,3,52,15,0
18,1,30,16,0
6,1,55,6,0
15,2,88,6,0
1,5,39,3,0
4,5,75,20,0
18,1,48,11,0
9,4,25,13,0
8,2,23,14,0
17,3,30,7,0
7,3,59,7,0
6,3,94,20,0
16,2,49,16,0
17,1,57,7,0
1,5,75,6,0
10,3,64,3,0
20,5,78,14,0
5,5,57,2,0
17,5,49,0,0
11,2,38,0,0
8,4,54,22,0
9,3,65,2,0
10,5,69,15,0
3,2,74,16,0
18,5,80,8,0
6,3,20,19,0
6,3,72,21,0
14,1,95,4,0
10,1,34,12,0
10,1,73,14,0
4,1,39,18,0
17,1,98,7,0
14,2,46,7,0
18,5,65,7,0
20,3,72,0,0
1,1,90,14,0
3,5,30,17,0
13,4,48,4,0
13,3,56,8,0
5,4,84,23,0
18,2,92,13,0
18,5,69,13,0
14,4,44,14,0
19,4,40,1,0
7,4,44,5,0
9,2,79,3,0
3,3,64,8,0
8,1,72,22,0
18,4,83,5,0
7,5,74,2,0
20,5,54,23,0
8,4,84,12,0
14,1,69,6,0
2,4,78,14,0
5,2,23,23,0
20,3,21,21,0
1,1,87,10,0
6,1,80,21,0
17,1,95,10,0
12,1,31,18,0
20,4,43,4,0
4,1,92,4,0
14,4,96,5,0
6,4,58,3,0
16,5,34,18,0
17,1,40,15,0
4,5,85,23,0
15,5,25,19,0
16,5,36,2,0
3,5,67,17,0
17,2,44,0,0
9,4,44,8,0
2,5,38,1,0
16,5,45,9,0
20,3,38,1,0
14,2,45,18,0
6,2,86,18,0
1,2,69,16,0
13,3,55,4,0
19,1,34,14,0
12,5,66,18,0
12,5,47,23,0
12,5,79,4,0
16,5,85,1,0
9,1,45,9,0
16,4,43,23,0
6,2,90,5,0
13,3,46,8,0
7,5,47,1,0
2,5,41,7,0
16,2,63,19,0
7,5,49,14,0
6,4,92,7,0
13,1,68,11,0
3,5,98,18,0
12,5,50,19,0
18,3,33,12,0
11,4,40,5,0
3,2,26,6,0
3,5,100,8,0
5,1,20,19,0
12,3,65,13,0
17,1,99,16,0
5,5,47,16,0
12,5,74,0,0
8,5,39,1,0
2,5,54,17,0
13,3,24,15,0
2,3,94,18,0
9,2,56,0,0
20,5,85,10,0
10,3,63,18,0
2,5,94,14,0
2,3,20,16,0
19,3,22,4,0
4,1,74,20,0
14,1,27,5,0
1,4,75,11,0
2,5,86,20,0
16,4,49,6,0
10,2,71,12,0
9,1,77,20,0
6,4,52,2,0
15,2,55,17,0
17,3,54,17,0
11,2,67,19,0
1,1,92,18,0
14,1,24,10,0
1,1,35,4,0
8,5,77,22,0
18,5,65,0,0
2,2,44,4,0
17,1,68,21,0
20,2,69,2,0
7,1,32,22,0
15,3,81,16,0
3,3,88,7,0
10,3,48,20,0
16,1,86,13,0
10,3,52,0,0
10,2,100,17,0
15,3,36,7,0
13,2,35,15,0
2,5,49,21,0
11,4,54,7,0
15,3,78,19,0
7,5,22,8,0
3,2,26,9,0
18,4,27,4,0
5,1,41,0,0
15,5,24,19,0
17,3,75,7,0
14,4,48,9,0
15,4,99,12,0
17,1,95,17,0
9,4,93,18,0
10,4,49,1,0
7,5,30,23,0
3,4,89,17,0
12,4,58,18,0
6,1,33,4,0
11,1,75,2,0
12,4,74,5,0
5,5,78,13,0
14,4,59,7,0
4,4,29,10,0
20,2,93,17,0
1,2,69,11,0
4,4,73,5,0
7,5,23,20,0
16,5,46,8,0
18,3,24,20,0
15,5,90,14,0
2,1,75,14,0
1,4,32,5,0
16,1,49,0,0
18,5,42,2,0
14,2,93,1,0
19,1,37,8,0
10,4,42,6,0
17,3,82,5,0
6,5,47,16,0
18,5,38,5,0
6,4,64,21,0
8,2,47,6,0
4,5,59,2,0
14,5,95,14,0
13,2,46,2,0
2,2,64,19,0
7,5,77,3,0
15,5,39,5,0
8,3,95,20,0
6,3,76,15,0
18,1,28,16,0
9,5,44,21,0
7,4,76,17,0
16,3,52,4,0
18,5,37,0,0
6,3,20,19,0
6,4,60,23,0
7,2,88,2,0
9,5,30,20,0
19,2,23,9,0
10,5,41,1,0
10,4,44,3,0
9,4,79,6,0
9,1,100,10,0
17,5,52,19,0
19,5,88,3,0
1,1,64,13,0
8,2,75,20,0
2,4,95,6,0
9,4,38,19,0
5,4,81,12,0
8,4,25,3,0
4,1,53,5,0
9,2,78,12,0
5,2,63,5,0
3,5,98,11,0
10,5,38,19,0
7,1,37,2,0
20,1,20,14,0
5,1,60,16,0
2,2,57,10,0
11,1,57,20,0
3,1,25,4,0
3,3,99,12,0
10,1,49,17,0
3,2,64,12,0
18,5,22,21,0
17,4,34,6,0
11,2,50,9,0
18,4,57,22,0
1,2,86,20,0
11,3,56,9,0
14,3,27,12,0
15,2,91,3,0
15,4,68,14,0
18,4,42,17,0
7,1,68,22,0
19,5,32,10,0
14,4,95,6,0
15,5,65,3,0
6,1,44,2,0
11,4,83,17,0
14,5,65,8,0
9,5,77,16,0
16,1,100,19,0
20,4,97,11,0
11,1,41,4,0
15,4,57,19,0
13,4,48,5,0
14,2,67,5,0
6,5,45,19,0
9,3,45,2,0
4,3,92,5,0
6,2,26,5,0
7,4,26,11,0
4,1,45,18,0
11,3,97,2,0
10,4,86,17,0
19,3,27,6,0
8,2,79,4,0
2,5,71,0,0
7,5,69,9,0
17,1,46,10,0
12,3,43,22,0
3,3,46,12,0
6,2,76,16,0
13,1,75,5,0
5,3,88,2,0
8,2,62,14,0
